,entry_hour,hold_hours,iv_pct,iv_implied_pct,realized_move,score
1,12,2,48.5800,0.7340,1.3028,1.7748
2,12,3,48.5800,0.8990,1.5090,1.6785
3,13,2,50.2100,0.7587,1.2658,1.6685
4,13,1,50.2100,0.5365,0.8451,1.5752
5,9,6,46.5200,1.2175,1.8809,1.5449
6,11,4,47.7500,1.0202,1.5723,1.5411
7,12,4,48.5800,1.0381,1.5756,1.5178
8,9,7,46.5200,1.3150,1.9677,1.4963
9,10,4,46.9500,1.0033,1.4806,1.4757
10,11,3,47.7500,0.8836,1.3002,1.4715
