,direction,entry_hour,hold_hours,p25,p50,p75,p90,pct_above,iv_pct,iv_implied_pct,score,opt_usd,n
0,CALL (up),9,6,0.329577,0.9495815,1.726321,2.4474465000000003,51.6,46.52,1.21748405592506,0.7799539512478427,295.49387,64
1,CALL (up),2,12,0.4322325,1.418504,1.90698425,2.7879809000000004,59.4,49.15,1.819123170535927,0.7797734771209024,368.1912,64
2,CALL (up),4,13,0.80736075,1.4646235,1.94670275,3.4307256000000006,67.2,49.11,1.8918624728986704,0.7741701740908978,350.49658,64
3,CALL (up),11,8,0.3620565,1.111106,1.92382875,3.0564897000000006,56.2,47.745003,1.4428489344821196,0.7700778462984471,299.91528,64
4,CALL (up),8,7,0.47142025,1.0413765000000001,1.7003535,2.5031062,56.2,47.98,1.3563045116672119,0.767804347063557,324.05878,64
5,CALL (up),8,8,0.47142025,1.1068115,1.8741385,2.8224853000000008,57.8,47.98,1.4499505127984134,0.7633443281204454,324.05878,64
6,CALL (up),2,13,0.4322325,1.4439705,2.152328,2.9629123000000006,62.5,49.15,1.8934034264728354,0.7626322419252877,368.1912,64
7,CALL (up),8,6,0.44875424999999997,0.946894,1.494193,2.2293660000000006,50.0,47.98,1.2556939783136998,0.7540802268332971,324.05878,64
8,CALL (up),11,9,0.3620565,1.1476549999999999,1.92382875,3.0564897000000006,57.8,47.745003,1.5303723987001372,0.7499187785762416,299.91528,64
9,CALL (up),12,7,0.39736375,1.028556,1.78234425,2.8231277,53.1,48.58,1.3732654499560635,0.7489855657789307,295.23843,64
10,CALL (up),4,14,0.80736075,1.4646235,2.09842675,3.4307256000000006,67.2,49.11,1.9632784713540885,0.7460090462815689,350.49658,64
11,CALL (up),9,7,0.329577,0.9677374999999999,1.8693385,2.8246009,53.1,46.52,1.3150330784827011,0.735903541769904,295.49387,64
12,CALL (up),2,14,0.645613,1.4439705,2.152328,3.5578857000000013,64.1,49.15,1.9648775944514874,0.7348908166480961,368.1912,64
13,CALL (up),10,6,0.395011,0.9021555,1.93077425,2.8842757000000008,50.0,46.95,1.2287376782475647,0.7342132629046269,296.61664,64
14,CALL (up),11,6,0.33388575,0.912722,1.92382875,2.9163534,50.0,47.745003,1.2495438310848246,0.7304441647377797,299.91528,64
15,PUT (down),12,3,0.44538075,0.9283144999999999,1.50682475,1.9062689,53.1,53.53,0.9906170709568205,0.9371073114087933,330.642,64
16,PUT (down),10,5,0.4318715,1.0705545,1.5997184999999998,2.3957749000000006,59.4,51.88,1.2394611692983462,0.8637257273707385,326.96295,64
17,PUT (down),9,6,0.54087825,1.141264,1.9825845,2.5465763999999997,57.8,50.805,1.3296276273466054,0.8583335488278757,327.25238,64
18,PUT (down),12,5,0.4596065,1.0828485,1.78485075,2.339943600000001,60.9,53.53,1.278881139428179,0.8467155129711037,330.642,64
19,PUT (down),10,4,0.34296625000000003,0.936442,1.45103875,1.7612660000000004,51.6,51.88,1.1086077720089909,0.84470091554834,326.96295,64
20,PUT (down),11,6,0.65143275,1.1444055,1.6709775,2.2578416000000003,57.8,52.13,1.3643044821852452,0.8388197172576705,330.9271,64
21,PUT (down),12,6,0.4882525,1.167219,1.8439685,2.6047391000000006,60.9,53.53,1.400944096865446,0.8331660075599047,330.642,64
22,PUT (down),12,4,0.4596065,0.9490989999999999,1.686746,2.0284671000000003,54.7,53.53,1.1438660651615176,0.8297291342985895,330.642,64
23,PUT (down),9,7,0.5730775,1.1763845000000002,2.04997125,2.7987009,60.9,50.805,1.4361619797121046,0.8191168660764994,327.25238,64
24,PUT (down),9,8,0.5730775,1.2225234999999999,2.066369,3.0810232,62.5,50.805,1.5353217371410524,0.796265349747787,327.25238,64
25,PUT (down),10,6,0.4318715,1.075776,1.71448825,2.4714430000000003,60.9,51.88,1.3577616831528676,0.7923157748139816,326.96295,64
26,PUT (down),11,7,0.71517175,1.1601285,1.7048665,2.2578416000000003,57.8,52.13,1.4736172637863634,0.7872658175971184,330.9271,64
27,PUT (down),12,7,0.4882525,1.167219,1.8439685,2.6054324000000006,60.9,53.53,1.51319257079169,0.7713618362462092,330.642,64
28,PUT (down),11,5,0.64644725,0.9487565,1.5655495,2.1958067000000003,53.1,52.13,1.2454339003304398,0.7617879196545677,330.9271,64
29,PUT (down),9,5,0.417156,0.919543,1.6053755,2.4412811000000008,51.6,50.805,1.2137784076330147,0.7575872121445938,327.25238,64
