combo_idx,date,nav_low,nav_high,nav_close,realized_close
71,2025-06-21,100000.0,100000.0,100000.0,0.0
71,2025-06-22,100000.0,100000.0,100000.0,0.0
71,2025-06-23,100000.0,100000.0,100000.0,0.0
71,2025-06-24,99511.44,100144.23,100143.64,0.0
71,2025-06-25,99876.5,100739.3,100739.21,567.7476
71,2025-06-26,100478.8,100953.75,100911.13,953.7485
71,2025-06-27,100910.22,101339.06,101339.06,1339.0616
71,2025-06-28,101339.06,101339.06,101339.06,1339.0616
71,2025-06-29,101339.06,101339.06,101339.06,1339.0616
71,2025-06-30,101339.06,101339.06,101339.06,1339.0616
71,2025-07-01,101339.06,101339.06,101339.06,1339.0616
71,2025-07-02,100833.95,101490.78,101490.53,1339.0616
71,2025-07-03,101272.6,102297.28,102297.2,1926.028
71,2025-07-04,102297.07,102516.484,102516.484,2516.486
71,2025-07-05,102516.484,102516.484,102516.484,2516.486
71,2025-07-06,102516.484,102516.484,102516.484,2516.486
71,2025-07-07,102516.484,102516.484,102516.484,2516.486
71,2025-07-08,102036.07,102516.484,102470.36,2516.486
71,2025-07-09,102470.336,102906.234,102906.234,2906.2312
71,2025-07-10,102906.234,102906.234,102906.234,2906.2312
71,2025-07-11,102025.055,103422.44,103422.44,2906.2312
71,2025-07-12,103223.65,103621.09,103621.09,3621.0967
71,2025-07-13,103621.09,103621.09,103621.09,3621.0967
71,2025-07-14,102936.125,103621.09,103338.62,3621.0967
71,2025-07-15,100839.625,104339.43,104339.43,4339.4307
71,2025-07-16,103547.63,104339.43,104032.1,4339.4307
71,2025-07-17,103802.234,104981.79,104981.79,4981.7896
71,2025-07-18,104981.79,104981.79,104981.79,4981.7896
71,2025-07-19,104981.79,104981.79,104981.79,4981.7896
71,2025-07-20,104981.79,104981.79,104981.79,4981.7896
71,2025-07-21,104981.79,104981.79,104981.79,4981.7896
71,2025-07-22,104981.79,104981.79,104981.79,4981.7896
71,2025-07-23,104433.88,105144.125,105143.984,4981.7896
71,2025-07-24,104903.68,105696.91,105538.875,5618.4937
71,2025-07-25,101822.76,106337.77,106337.77,6337.7734
71,2025-07-26,106337.77,106337.77,106337.77,6337.7734
71,2025-07-27,106337.77,106337.77,106337.77,6337.7734
71,2025-07-28,106337.77,106337.77,106337.77,6337.7734
71,2025-07-29,106337.77,106337.77,106337.77,6337.7734
71,2025-07-30,106337.77,106337.77,106337.77,6337.7734
71,2025-07-31,106337.77,106337.77,106337.77,6337.7734
71,2025-08-01,106337.77,106337.77,106337.77,6337.7734
71,2025-08-02,106337.77,106337.77,106337.77,6337.7734
71,2025-08-03,106337.77,106337.77,106337.77,6337.7734
71,2025-08-04,106337.77,106337.77,106337.77,6337.7734
71,2025-08-05,106337.77,106337.77,106337.77,6337.7734
71,2025-08-06,106337.77,106337.77,106337.77,6337.7734
71,2025-08-07,105989.086,106786.75,106786.12,6337.7734
71,2025-08-08,106537.29,107235.61,107235.61,7051.6724
71,2025-08-09,107235.46,107468.97,107468.97,7468.971
71,2025-08-10,107468.97,107468.97,107468.97,7468.971
71,2025-08-11,107468.97,107468.97,107468.97,7468.971
71,2025-08-12,106695.99,107468.97,107176.28,7468.971
71,2025-08-13,106937.23,107897.58,107897.58,7897.5776
71,2025-08-14,107897.58,107897.58,107897.58,7897.5776
71,2025-08-15,107897.58,107897.58,107897.58,7897.5776
71,2025-08-16,107897.58,107897.58,107897.58,7897.5776
71,2025-08-17,107897.58,107897.58,107897.58,7897.5776
71,2025-08-18,107150.79,107897.58,107849.38,7897.5776
71,2025-08-19,106937.73,108314.586,108314.586,8314.59
71,2025-08-20,107580.49,108314.586,108038.95,8314.59
71,2025-08-21,108039.12,108724.516,108654.766,8724.518
71,2025-08-22,108653.45,109329.32,109329.32,9329.319
71,2025-08-23,109329.32,109329.32,109329.32,9329.319
71,2025-08-24,109329.32,109329.32,109329.32,9329.319
71,2025-08-25,109329.32,109329.32,109329.32,9329.319
71,2025-08-26,108814.664,109480.74,109256.3,9329.319
71,2025-08-27,109256.8,109927.39,109927.39,9927.387
71,2025-08-28,109243.055,110242.87,110040.51,9927.387
71,2025-08-29,109948.984,110645.05,110382.85,10645.049
71,2025-08-30,110383.766,111033.734,111033.734,11033.738
71,2025-08-31,111033.734,111033.734,111033.734,11033.738
71,2025-09-01,110545.3,111033.734,110546.73,11033.738
71,2025-09-02,109653.73,111594.71,111594.45,11420.03
71,2025-09-03,111370.55,111816.87,111816.87,11816.864
71,2025-09-04,111816.87,111816.87,111816.87,11816.864
71,2025-09-05,111323.734,111816.87,111774.234,11816.864
71,2025-09-06,111774.32,112216.93,112216.93,12216.927
71,2025-09-07,112216.93,112216.93,112216.93,12216.927
71,2025-09-08,112216.93,112216.93,112216.93,12216.927
71,2025-09-09,112216.93,112216.93,112216.93,12216.927
71,2025-09-10,112216.93,112216.93,112216.93,12216.927
71,2025-09-11,111682.875,112216.93,112144.46,12216.927
71,2025-09-12,111907.03,112837.53,112837.53,12837.529
71,2025-09-13,112837.53,112837.53,112837.53,12837.529
