combo_idx,trade_idx,open_idx,ts,event,contract,side,qty,price_btc,amount_btc,fee_btc,spot,amount_usd,fee_usd,balance_usd,exit_reason,status
71,1,1,2025-06-24 20:00:00+00:00,open,BTC-25JUN25-109000-C,sell,20.0,0.0002,0.0039999997,0.0004168,105631.4,422.52557,44.027164,100378.5,,0
71,1,1,2025-06-24 20:00:00+00:00,open,BTC-25JUN25-102000-P,sell,20.0,1e-04,0.0019999999,0.0002084,105631.4,211.26279,22.013582,100567.75,,0
71,2,1,2025-06-25 08:00:00+00:00,close,BTC-25JUN25-109000-C,buy,20.0,0.0,-0.0,0.0,106684.11,-0.0,0.0,100567.75,expiry,0
71,2,1,2025-06-25 08:00:00+00:00,close,BTC-25JUN25-102000-P,buy,20.0,0.0,-0.0,0.0,106684.11,-0.0,0.0,100567.75,expiry,0
71,3,3,2025-06-25 20:00:00+00:00,open,BTC-26JUN25-111000-C,sell,20.0,1e-04,0.0019999999,0.0002084,107725.17,215.45033,22.449924,100760.75,,0
71,3,3,2025-06-25 20:00:00+00:00,open,BTC-26JUN25-104500-P,sell,20.0,1e-04,0.0019999999,0.0002084,107725.17,215.45033,22.449924,100953.75,,0
71,4,3,2025-06-26 08:00:00+00:00,close,BTC-26JUN25-111000-C,buy,20.0,0.0,-0.0,0.0,107905.07,-0.0,0.0,100953.75,expiry,0
71,4,3,2025-06-26 08:00:00+00:00,close,BTC-26JUN25-104500-P,buy,20.0,0.0,-0.0,0.0,107905.07,-0.0,0.0,100953.75,expiry,0
71,5,5,2025-06-26 20:00:00+00:00,open,BTC-27JUN25-111000-C,sell,20.0,1e-04,0.0019999999,0.0002084,107533.27,215.06654,22.409933,101146.41,,0
71,5,5,2025-06-26 20:00:00+00:00,open,BTC-27JUN25-104000-P,sell,20.0,1e-04,0.0019999999,0.0002084,107533.27,215.06654,22.409933,101339.06,,0
71,6,5,2025-06-27 08:00:00+00:00,close,BTC-27JUN25-111000-C,buy,20.0,0.0,-0.0,0.0,107019.66,-0.0,0.0,101339.06,expiry,0
71,6,5,2025-06-27 08:00:00+00:00,close,BTC-27JUN25-104000-P,buy,20.0,0.0,-0.0,0.0,107019.66,-0.0,0.0,101339.06,expiry,0
71,7,7,2025-07-02 21:00:00+00:00,open,BTC-3JUL25-113000-C,sell,20.0,0.0002,0.0039999997,0.0004168,109207.1,436.8284,45.517517,101730.375,,0
71,7,7,2025-07-02 21:00:00+00:00,open,BTC-3JUL25-106000-P,sell,20.0,1e-04,0.0019999999,0.0002084,109207.1,218.4142,22.758759,101926.03,,0
71,8,7,2025-07-03 08:00:00+00:00,close,BTC-3JUL25-113000-C,buy,20.0,0.0,-0.0,0.0,109389.77,-0.0,0.0,101926.03,expiry,0
71,8,7,2025-07-03 08:00:00+00:00,close,BTC-3JUL25-106000-P,buy,20.0,0.0,-0.0,0.0,109389.77,-0.0,0.0,101926.03,expiry,0
71,9,9,2025-07-03 20:00:00+00:00,open,BTC-4JUL25-113000-C,sell,20.0,0.0002,0.0039999997,0.0004168,109856.77,439.4271,45.788303,102319.664,,0
71,9,9,2025-07-03 20:00:00+00:00,open,BTC-4JUL25-106000-P,sell,20.0,1e-04,0.0019999999,0.0002084,109856.77,219.71355,22.894152,102516.484,,0
71,10,9,2025-07-04 08:00:00+00:00,close,BTC-4JUL25-113000-C,buy,20.0,0.0,-0.0,0.0,108743.36,-0.0,0.0,102516.484,expiry,0
71,10,9,2025-07-04 08:00:00+00:00,close,BTC-4JUL25-106000-P,buy,20.0,0.0,-0.0,0.0,108743.36,-0.0,0.0,102516.484,expiry,0
71,11,11,2025-07-08 20:00:00+00:00,open,BTC-9JUL25-112000-C,sell,20.0,1e-04,0.0019999999,0.0002084,108770.09,217.54018,22.667686,102711.36,,0
