combo_idx,trade_idx,open_idx,ts,event,contract,side,qty,price_btc,amount_btc,fee_btc,spot,amount_usd,fee_usd,balance_usd,exit_reason,comment,status
33,1,1,2025-08-18 16:00:00+00:00,open,BTC-19AUG25-117000-C,sell,1.7,0.0016,0.00272,0.000283424,116229.65,316.14462,32.942272,100283.2,,,0
33,1,1,2025-08-18 16:00:00+00:00,open,BTC-19AUG25-122000-C,buy,1.7,1e-04,-0.00017,1.7714e-05,116229.65,-19.759039,2.058892,100261.38,,,0
33,2,1,2025-08-19 08:00:00+00:00,close,BTC-19AUG25-117000-C,buy,1.7,0.0,-0.0,0.0,115011.6,-0.0,0.0,100261.38,expiry,,0
33,2,1,2025-08-19 08:00:00+00:00,close,BTC-19AUG25-122000-C,sell,1.7,0.0,0.0,0.0,115011.6,0.0,0.0,100261.38,expiry,,0
33,3,3,2025-08-19 16:00:00+00:00,open,BTC-20AUG25-115000-C,sell,1.8,0.0015,0.0027,0.00028134,113829.46,307.33954,32.02478,100536.695,,,0
33,3,3,2025-08-19 16:00:00+00:00,open,BTC-20AUG25-118000-C,buy,1.8,0.0002,-0.00036,3.7512e-05,113829.46,-40.978603,4.2699704,100491.45,,,0
33,4,3,2025-08-20 08:00:00+00:00,close,BTC-20AUG25-115000-C,buy,1.8,0.0,-0.0,0.0,113420.94,-0.0,0.0,100491.45,expiry,,0
33,4,3,2025-08-20 08:00:00+00:00,close,BTC-20AUG25-118000-C,sell,1.8,0.0,0.0,0.0,113420.94,0.0,0.0,100491.45,expiry,,0
33,5,5,2025-08-20 16:00:00+00:00,open,BTC-21AUG25-114000-C,sell,1.8,0.0027,0.00486,0.00045,113390.79,551.0792,51.025856,100991.51,,,0
33,5,5,2025-08-20 16:00:00+00:00,open,BTC-21AUG25-120000-C,buy,1.8,0.0002,-0.00036,3.7512e-05,113390.79,-40.820683,4.2535152,100946.43,,,0
33,6,5,2025-08-21 08:00:00+00:00,close,BTC-21AUG25-114000-C,buy,1.8,0.0,-0.0,0.0,113900.95,-0.0,0.0,100946.43,expiry,,0
33,6,5,2025-08-21 08:00:00+00:00,close,BTC-21AUG25-120000-C,sell,1.8,0.0,0.0,0.0,113900.95,0.0,0.0,100946.43,expiry,,0
33,7,7,2025-08-21 16:00:00+00:00,open,BTC-22AUG25-114000-C,sell,1.8,0.0013,0.0023400001,0.000243828,112747.28,263.82864,27.490944,101182.766,,,0
33,7,7,2025-08-21 16:00:00+00:00,open,BTC-22AUG25-119000-C,buy,1.8,1e-04,-0.00018,1.8756e-05,112747.28,-20.29451,2.114688,101160.36,,,0
33,8,7,2025-08-22 08:00:00+00:00,close,BTC-22AUG25-114000-C,buy,1.8,0.0,-0.0,0.0,113038.03,-0.0,0.0,101160.36,expiry,,0
33,8,7,2025-08-22 08:00:00+00:00,close,BTC-22AUG25-119000-C,sell,1.8,0.0,0.0,0.0,113038.03,0.0,0.0,101160.36,expiry,,0
33,9,9,2025-08-22 16:00:00+00:00,open,BTC-23AUG25-115000-P,sell,1.7,0.0017,0.0028900001,0.000301138,116489.44,336.65448,35.079395,101461.93,,,0
33,9,9,2025-08-22 16:00:00+00:00,open,BTC-23AUG25-106000-P,buy,1.7,0.0002,-0.00034,3.5428e-05,116489.44,-39.606407,4.1269875,101418.2,,,0
33,10,9,2025-08-23 08:00:00+00:00,close,BTC-23AUG25-115000-P,buy,1.7,0.0,-0.0,0.0,115807.75,-0.0,0.0,101418.2,expiry,,0
33,10,9,2025-08-23 08:00:00+00:00,close,BTC-23AUG25-106000-P,sell,1.7,0.0,0.0,0.0,115807.75,0.0,0.0,101418.2,expiry,,0
33,11,11,2025-08-25 16:00:00+00:00,open,BTC-26AUG25-113000-C,sell,1.8,0.0026,0.0046800002,0.00045,112145.58,524.8413,50.46551,101892.58,,,0
33,11,11,2025-08-25 16:00:00+00:00,open,BTC-26AUG25-118000-C,buy,1.8,0.0002,-0.00036,3.7512e-05,112145.58,-40.372406,4.2068048,101848.0,,,0
33,12,11,2025-08-26 08:00:00+00:00,close,BTC-26AUG25-113000-C,buy,1.8,0.0,-0.0,0.0,110360.35,-0.0,0.0,101848.0,expiry,,0
33,12,11,2025-08-26 08:00:00+00:00,close,BTC-26AUG25-118000-C,sell,1.8,0.0,0.0,0.0,110360.35,0.0,0.0,101848.0,expiry,,0
33,13,13,2025-08-26 16:00:00+00:00,open,BTC-27AUG25-111000-C,sell,1.9,0.0017,0.0032300001,0.000336566,109745.85,354.4791,36.93672,102165.54,,,0
33,13,13,2025-08-26 16:00:00+00:00,open,BTC-27AUG25-115000-C,buy,1.9,0.0002,-0.00037999998,3.9595998e-05,109745.85,-41.703423,4.3454967,102119.49,,,0
33,14,13,2025-08-27 08:00:00+00:00,close,BTC-27AUG25-111000-C,buy,1.9,0.0,-0.0,0.0,110798.58,-0.0,0.0,102119.49,expiry,,0
33,14,13,2025-08-27 08:00:00+00:00,close,BTC-27AUG25-115000-C,sell,1.9,0.0,0.0,0.0,110798.58,0.0,0.0,102119.49,expiry,,0
33,15,15,2025-08-27 16:00:00+00:00,open,BTC-28AUG25-113000-C,sell,1.8,0.0018,0.00324,0.00033760798,111999.3,362.87772,37.81186,102444.555,,,0
33,15,15,2025-08-27 16:00:00+00:00,open,BTC-28AUG25-119000-C,buy,1.8,0.0002,-0.00036,3.7512e-05,111999.3,-40.319744,4.2013173,102400.03,,,0
33,16,15,2025-08-28 08:00:00+00:00,close,BTC-28AUG25-113000-C,buy,1.8,0.0014183394,-0.002553011,0.00026602374,113160.5,-288.9,30.10338,102081.03,expiry,,0
33,16,15,2025-08-28 08:00:00+00:00,close,BTC-28AUG25-119000-C,sell,1.8,0.0,0.0,0.0,113160.5,0.0,0.0,102081.03,expiry,,0
33,17,17,2025-08-29 16:00:00+00:00,open,BTC-30AUG25-110000-C,sell,1.9,0.0012,0.0022800001,0.00023757601,108427.96,247.21576,25.759882,102302.484,,,0
33,17,17,2025-08-29 16:00:00+00:00,open,BTC-30AUG25-115000-C,buy,1.9,0.0002,-0.00037999998,3.9595998e-05,108427.96,-41.202625,4.2933135,102256.99,,,0
33,18,17,2025-08-30 08:00:00+00:00,close,BTC-30AUG25-110000-C,buy,1.9,0.0,-0.0,0.0,108510.29,-0.0,0.0,102256.99,expiry,,0
33,18,17,2025-08-30 08:00:00+00:00,close,BTC-30AUG25-115000-C,sell,1.9,0.0,0.0,0.0,108510.29,0.0,0.0,102256.99,expiry,,0
33,19,19,2025-09-01 16:10:00+00:00,open,BTC-2SEP25-110000-C,sell,1.9,0.001,0.0019,0.00019798001,108926.99,206.96129,21.565367,102442.39,,,0
33,19,19,2025-09-01 16:10:00+00:00,open,BTC-2SEP25-113000-C,buy,1.9,1e-04,-0.00018999999,1.9797999e-05,108926.99,-20.696129,2.1565366,102419.53,,,0
33,20,19,2025-09-02 08:00:00+00:00,close,BTC-2SEP25-110000-C,buy,1.9,0.002296136,-0.0043626586,0.00045458903,110253.16,-480.9969,50.119873,101888.414,expiry,,0
33,20,19,2025-09-02 08:00:00+00:00,close,BTC-2SEP25-113000-C,sell,1.9,0.0,0.0,0.0,110253.16,0.0,0.0,101888.414,expiry,,0
33,21,21,2025-09-02 16:00:00+00:00,open,BTC-3SEP25-112000-C,sell,1.8,0.0015,0.0027,0.00028134,110928.26,299.5063,31.208557,102156.72,,,0
33,21,21,2025-09-02 16:00:00+00:00,open,BTC-3SEP25-116000-C,buy,1.8,1e-04,-0.00018,1.8756e-05,110928.26,-19.967087,2.0805705,102134.67,,,0
33,22,21,2025-09-03 08:00:00+00:00,close,BTC-3SEP25-112000-C,buy,1.8,0.0,-0.0,0.0,111106.16,-0.0,0.0,102134.67,expiry,,0
33,22,21,2025-09-03 08:00:00+00:00,close,BTC-3SEP25-116000-C,sell,1.8,0.0,0.0,0.0,111106.16,0.0,0.0,102134.67,expiry,,0
33,23,23,2025-09-03 16:00:00+00:00,open,BTC-4SEP25-113000-C,sell,1.8,0.0018,0.00324,0.00033760798,112352.04,364.0206,37.930946,102460.76,,,0
33,23,23,2025-09-03 16:00:00+00:00,open,BTC-4SEP25-116000-C,buy,1.8,0.0002,-0.00036,3.7512e-05,112352.04,-40.44673,4.2145495,102416.09,,,0
33,24,23,2025-09-04 08:00:00+00:00,close,BTC-4SEP25-113000-C,buy,1.8,0.0,-0.0,0.0,110460.28,-0.0,0.0,102416.09,expiry,,0
33,24,23,2025-09-04 08:00:00+00:00,close,BTC-4SEP25-116000-C,sell,1.8,0.0,0.0,0.0,110460.28,0.0,0.0,102416.09,expiry,,0
33,25,25,2025-09-04 16:00:00+00:00,open,BTC-5SEP25-111000-C,sell,1.9,0.001,0.0019,0.00019798001,109487.77,208.02678,21.67639,102602.445,,,0
33,25,25,2025-09-04 16:00:00+00:00,open,BTC-5SEP25-115000-C,buy,1.9,0.0002,-0.00037999998,3.9595998e-05,109487.77,-41.605354,4.3352776,102556.51,,,0
33,26,25,2025-09-05 08:00:00+00:00,close,BTC-5SEP25-111000-C,buy,1.9,0.017405301,-0.033070073,0.000475,112966.21,-3735.8008,53.65895,98767.05,expiry,,0
33,26,25,2025-09-05 08:00:00+00:00,close,BTC-5SEP25-115000-C,sell,1.9,0.0,0.0,0.0,112966.21,0.0,0.0,98767.05,expiry,,0
33,27,27,2025-09-08 16:00:00+00:00,open,BTC-9SEP25-113000-C,sell,1.8,0.002,0.0036000002,0.00037512003,112634.51,405.48425,42.251457,99130.28,,,0
33,27,27,2025-09-08 16:00:00+00:00,open,BTC-9SEP25-118000-C,buy,1.8,1e-04,-0.00018,1.8756e-05,112634.51,-20.27421,2.1125727,99107.89,,,0
33,28,27,2025-09-09 08:00:00+00:00,close,BTC-9SEP25-113000-C,buy,1.8,0.0008335828,-0.001500449,0.00015634678,113094.27,-169.69218,17.681927,98920.516,expiry,,0
33,28,27,2025-09-09 08:00:00+00:00,close,BTC-9SEP25-118000-C,sell,1.8,0.0,0.0,0.0,113094.27,0.0,0.0,98920.516,expiry,,0
33,29,29,2025-09-10 16:00:00+00:00,open,BTC-11SEP25-115000-C,sell,1.7,0.0015,0.00255,0.00026571,113883.54,290.403,30.259995,99180.664,,,0
33,29,29,2025-09-10 16:00:00+00:00,open,BTC-11SEP25-118000-C,buy,1.7,0.0002,-0.00034,3.5428e-05,113883.54,-38.7204,4.034666,99137.91,,,0
33,30,29,2025-09-11 08:00:00+00:00,close,BTC-11SEP25-115000-C,buy,1.7,0.0,-0.0,0.0,114079.24,-0.0,0.0,99137.91,expiry,,0
33,30,29,2025-09-11 08:00:00+00:00,close,BTC-11SEP25-118000-C,sell,1.7,0.0,0.0,0.0,114079.24,0.0,0.0,99137.91,expiry,,0
33,31,31,2025-09-12 16:00:00+00:00,open,BTC-13SEP25-114000-P,sell,1.7,0.0007,0.00119,0.00012399799,115178.0,137.06181,14.281841,99260.69,,,0
33,31,31,2025-09-12 16:00:00+00:00,open,BTC-13SEP25-110000-P,buy,1.7,0.0002,-0.00034,3.5428e-05,115178.0,-39.16052,4.080526,99217.445,,,0
33,32,31,2025-09-13 08:00:00+00:00,close,BTC-13SEP25-114000-P,buy,1.7,0.0,-0.0,0.0,115846.37,-0.0,0.0,99217.445,expiry,,0
33,32,31,2025-09-13 08:00:00+00:00,close,BTC-13SEP25-110000-P,sell,1.7,0.0,0.0,0.0,115846.37,0.0,0.0,99217.445,expiry,,0
33,33,33,2025-09-15 16:00:00+00:00,open,BTC-16SEP25-114000-P,sell,1.7,0.001,0.0017000001,0.00017714001,114884.7,195.304,20.350677,99392.4,,,0
33,33,33,2025-09-15 16:00:00+00:00,open,BTC-16SEP25-108000-P,buy,1.7,0.0002,-0.00034,3.5428e-05,114884.7,-39.0608,4.070135,99349.266,,,0
33,34,33,2025-09-16 08:00:00+00:00,close,BTC-16SEP25-114000-P,buy,1.7,0.0,-0.0,0.0,115923.7,-0.0,0.0,99349.266,expiry,,0
33,34,33,2025-09-16 08:00:00+00:00,close,BTC-16SEP25-108000-P,sell,1.7,0.0,0.0,0.0,115923.7,0.0,0.0,99349.266,expiry,,0
33,35,35,2025-09-16 16:00:00+00:00,open,BTC-17SEP25-115000-P,sell,1.7,0.001,0.0017000001,0.00017714001,115977.47,197.16171,20.54425,99525.88,,,0
33,35,35,2025-09-16 16:00:00+00:00,open,BTC-17SEP25-108000-P,buy,1.7,0.0002,-0.00034,3.5428e-05,115977.47,-39.43234,4.1088495,99482.34,,,0
33,36,35,2025-09-17 08:00:00+00:00,close,BTC-17SEP25-115000-P,buy,1.7,0.0,-0.0,0.0,117222.28,-0.0,0.0,99482.34,expiry,,0
33,36,35,2025-09-17 08:00:00+00:00,close,BTC-17SEP25-108000-P,sell,1.7,0.0,0.0,0.0,117222.28,0.0,0.0,99482.34,expiry,,0
33,37,37,2025-09-17 16:00:00+00:00,open,BTC-18SEP25-118000-C,sell,1.7,0.0032,0.00544,0.000425,115862.63,630.2927,49.24162,100063.4,,,0
33,37,37,2025-09-17 16:00:00+00:00,open,BTC-18SEP25-124000-C,buy,1.7,0.0003,-0.00051000004,5.3142e-05,115862.63,-59.089947,6.157172,99998.15,,,0
33,38,37,2025-09-18 08:00:00+00:00,close,BTC-18SEP25-118000-C,buy,1.7,0.0,-0.0,0.0,117104.53,-0.0,0.0,99998.15,expiry,,0
33,38,37,2025-09-18 08:00:00+00:00,close,BTC-18SEP25-124000-C,sell,1.7,0.0,0.0,0.0,117104.53,0.0,0.0,99998.15,expiry,,0
33,39,39,2025-09-19 16:00:00+00:00,open,BTC-20SEP25-117000-C,sell,1.7,0.0008,0.00136,0.000141712,115867.84,157.58026,16.419863,100139.305,,,0
33,39,39,2025-09-19 16:00:00+00:00,open,BTC-20SEP25-121000-C,buy,1.7,1e-04,-0.00017,1.7714e-05,115867.84,-19.697533,2.0524828,100117.555,,,0
33,40,39,2025-09-20 08:00:00+00:00,close,BTC-20SEP25-117000-C,buy,1.7,0.0,-0.0,0.0,115995.94,-0.0,0.0,100117.555,expiry,,0
33,40,39,2025-09-20 08:00:00+00:00,close,BTC-20SEP25-121000-C,sell,1.7,0.0,0.0,0.0,115995.94,0.0,0.0,100117.555,expiry,,0
33,41,41,2025-09-22 16:00:00+00:00,open,BTC-23SEP25-114000-C,sell,1.8,0.0012,0.0021600001,0.00022507201,112873.92,243.80768,25.40476,100335.96,,,0
33,41,41,2025-09-22 16:00:00+00:00,open,BTC-23SEP25-117000-C,buy,1.8,0.0002,-0.00036,3.7512e-05,112873.92,-40.63461,4.2341266,100291.09,,,0
33,42,41,2025-09-23 08:00:00+00:00,close,BTC-23SEP25-114000-C,buy,1.8,0.0,-0.0,0.0,113121.31,-0.0,0.0,100291.09,expiry,,0
33,42,41,2025-09-23 08:00:00+00:00,close,BTC-23SEP25-117000-C,sell,1.8,0.0,0.0,0.0,113121.31,0.0,0.0,100291.09,expiry,,0
33,43,43,2025-09-23 16:00:00+00:00,open,BTC-24SEP25-114000-C,sell,1.8,0.001,0.0018000001,0.00018756001,112943.04,203.29749,21.183598,100473.2,,,0
33,43,43,2025-09-23 16:00:00+00:00,open,BTC-24SEP25-117000-C,buy,1.8,0.0002,-0.00036,3.7512e-05,112943.04,-40.659492,4.236719,100428.31,,,0
33,44,43,2025-09-24 08:00:00+00:00,close,BTC-24SEP25-114000-C,buy,1.8,0.0,-0.0,0.0,112585.1,-0.0,0.0,100428.31,expiry,,0
