pair_index,schedule_entry_bar_utc,schedule_exit_bar_utc
1,2024-11-06T04:00:00+00:00,2024-11-25T20:00:00+00:00
2,2025-04-21T00:00:00+00:00,2025-05-04T12:00:00+00:00
3,2025-09-29T04:00:00+00:00,2025-10-08T04:00:00+00:00
4,2026-03-02T04:00:00+00:00,2026-03-02T08:00:00+00:00
5,2026-03-02T12:00:00+00:00,2026-03-06T20:00:00+00:00
6,2026-03-10T04:00:00+00:00,2026-03-18T20:00:00+00:00
7,2026-04-05T20:00:00+00:00,2026-04-12T20:00:00+00:00
