trade_num,entry_date,side,short_strike,expiry,exit_type,short_pnl,long_strike,long_delta,long_ask_entry,long_bid_exit,long_cost_usd,long_exit_usd,long_pnl_usd,spread_pnl,spread_width_usd,spot_entry,spot_exit,note
107,2025-04-11,Short put,72000.0,25APR25,ask,566.4,60000.0,0.0246,0.0017,0.0004,-151.84,30.37,-121.47,444.93,12000.0,80888.0,84749.0,
108,2025-04-12,Short put,75000.0,25APR25,ask,689.7,65000.0,0.0338,0.0022,0.0001,-202.67,7.62,-195.05,494.65,10000.0,83430.0,85076.0,
109,2025-04-13,Short put,76000.0,25APR25,ask,532.34,66000.0,0.0263,0.0015,0.0001,-140.35,7.62,-132.72,399.62,10000.0,84735.0,85101.0,
110,2025-04-15,Short put,78000.0,25APR25,ask,479.69,70000.0,0.0334,0.0017,0.0002,-160.72,15.84,-144.89,334.8,8000.0,85621.0,88391.0,
111,2025-04-18,Short put,78000.0,2MAY25,ask,525.4,70000.0,0.0371,0.0017,0.0002,-159.39,16.75,-142.65,382.75,8000.0,84913.0,93472.0,
112,2025-04-24,Short put,84000.0,9MAY25,ask,491.32,75000.0,0.0327,0.0017,0.0002,-174.08,17.08,-157.0,334.32,9000.0,92736.0,95351.0,
113,2025-04-25,Short put,85000.0,9MAY25,ask,410.8,75000.0,0.0242,0.0012,0.0003,-123.74,26.08,-97.66,313.14,10000.0,93387.0,97049.0,
114,2025-04-26,Short put,87000.0,9MAY25,ask,420.11,78000.0,0.0291,0.0013,0.0001,-136.23,8.66,-127.57,292.54,9000.0,94903.0,96633.0,
115,2025-04-27,Short put,87000.0,9MAY25,ask,463.45,78000.0,0.0324,0.0015,0.0001,-155.95,8.62,-147.33,316.12,9000.0,94156.0,96214.0,
116,2025-04-28,Short put,87000.0,9MAY25,ask,382.89,78000.0,0.0279,0.0013,0.0001,-135.48,8.5,-126.98,255.91,9000.0,94380.0,94884.0,
117,2025-04-29,Short put,88000.0,9MAY25,ask,441.61,80000.0,0.031,0.0012,0.0001,-125.14,8.46,-116.68,324.93,8000.0,94445.0,94446.0,
118,2025-04-30,Short put,89000.0,9MAY25,ask,380.26,82000.0,0.0307,0.0012,0.0001,-125.93,8.64,-117.28,262.98,7000.0,95036.0,96487.0,
119,2025-05-01,Short put,88000.0,16MAY25,ask,529.13,75000.0,0.0193,0.001,0.0002,-105.29,17.71,-87.58,441.55,13000.0,95351.0,98825.0,
120,2025-05-08,Short put,91000.0,23MAY25,ask,462.25,80000.0,0.0226,0.0011,0.0002,-120.27,18.35,-101.93,360.32,11000.0,99020.0,102395.0,
121,2025-05-09,Short put,95000.0,23MAY25,ask,555.83,85000.0,0.0355,0.0018,0.0003,-205.17,27.94,-177.22,378.61,10000.0,103225.0,103978.0,
122,2025-05-10,Short put,96000.0,23MAY25,ask,466.58,85000.0,0.0245,0.0011,0.0002,-125.87,18.52,-107.35,359.23,11000.0,103628.0,103377.0,
123,2025-05-11,Short put,96000.0,23MAY25,ask,475.73,88000.0,0.0319,0.0013,0.0003,-149.54,27.86,-121.68,354.05,8000.0,104177.0,103668.0,
124,2025-05-12,Short put,96000.0,23MAY25,ask,325.38,88000.0,0.0305,0.0013,0.0003,-149.59,27.69,-121.9,203.48,8000.0,104214.0,103054.0,
125,2025-05-13,Short put,96000.0,23MAY25,stop_loss,-1225.78,88000.0,0.0282,0.0011,0.0008,-124.73,73.6,-51.12,-1276.9,8000.0,102689.0,102707.0,
126,2025-05-14,Short put,98000.0,23MAY25,ask,451.51,90000.0,0.0305,0.0011,0.0,-126.51,0.0,-126.51,325.0,8000.0,104160.0,107607.0,
127,2025-05-16,Short put,96000.0,30MAY25,ask,427.25,86000.0,0.0279,0.0011,0.0003,-126.55,29.95,-96.6,330.65,10000.0,104187.0,111428.0,
