trade_num,entry_date,side,short_strike,expiry,exit_type,short_pnl,long_strike,long_delta,long_ask_entry,long_bid_exit,long_cost_usd,long_exit_usd,long_pnl_usd,spread_pnl,spread_width_usd,spot_entry,spot_exit,note
107,2025-04-11,Short put,72000.0,25APR25,ask,566.4,68000.0,0.0748,0.0046,0.0006,-392.32,45.55,-346.77,219.63,4000.0,80891.0,84749.0,
108,2025-04-12,Short put,75000.0,25APR25,ask,689.7,70000.0,0.0706,0.0043,0.0002,-379.61,15.24,-364.36,325.34,5000.0,83430.0,85076.0,
109,2025-04-13,Short put,76000.0,25APR25,ask,532.34,73000.0,0.0832,0.0046,0.0003,-410.96,22.87,-388.09,144.25,3000.0,84734.0,85101.0,
110,2025-04-15,Short put,78000.0,25APR25,ask,479.69,75000.0,0.081,0.0039,0.0003,-355.35,23.75,-331.59,148.1,3000.0,85626.0,88391.0,
111,2025-04-18,Short put,78000.0,2MAY25,ask,525.4,74000.0,0.0731,0.0034,0.0004,-309.93,33.49,-276.44,248.96,4000.0,84913.0,93472.0,
112,2025-04-24,Short put,84000.0,9MAY25,ask,491.32,81000.0,0.0836,0.0042,0.0005,-412.68,42.71,-369.97,121.35,3000.0,92736.0,95351.0,
113,2025-04-25,Short put,85000.0,9MAY25,ask,410.8,82000.0,0.0782,0.0036,0.0005,-359.54,43.47,-316.07,94.73,3000.0,93387.0,97049.0,
114,2025-04-26,Short put,87000.0,9MAY25,ask,420.11,84000.0,0.0798,0.0035,0.0005,-355.88,43.28,-312.6,107.51,3000.0,94903.0,96633.0,
115,2025-04-27,Short put,87000.0,9MAY25,ask,463.45,84000.0,0.0873,0.0038,0.0005,-381.33,43.09,-338.24,125.21,3000.0,94156.0,96214.0,
116,2025-04-28,Short put,87000.0,9MAY25,ask,382.89,84000.0,0.0764,0.0032,0.0004,-325.61,34.0,-291.61,91.28,3000.0,94380.0,94884.0,
117,2025-04-29,Short put,88000.0,9MAY25,ask,441.61,85000.0,0.0847,0.0033,0.0003,-335.28,25.38,-309.9,131.71,3000.0,94445.0,94446.0,
118,2025-04-30,Short put,89000.0,9MAY25,ask,380.26,86000.0,0.0732,0.0025,0.0002,-261.35,17.29,-244.06,136.2,3000.0,95035.0,96487.0,
119,2025-05-01,Short put,88000.0,16MAY25,ask,529.13,84000.0,0.081,0.0038,0.0006,-386.18,53.12,-333.06,196.07,4000.0,95352.0,98825.0,
120,2025-05-08,Short put,91000.0,23MAY25,ask,462.25,88000.0,0.0858,0.0038,0.0006,-401.03,55.04,-345.99,116.26,3000.0,99020.0,102395.0,
121,2025-05-09,Short put,95000.0,23MAY25,ask,555.83,91000.0,0.0838,0.0039,0.0006,-428.39,55.89,-372.5,183.33,4000.0,103226.0,103978.0,
122,2025-05-10,Short put,96000.0,23MAY25,ask,466.58,92000.0,0.0725,0.003,0.0006,-336.79,55.56,-281.23,185.35,4000.0,103628.0,103377.0,
123,2025-05-11,Short put,96000.0,23MAY25,ask,475.73,93000.0,0.08,0.0032,0.0006,-359.41,55.72,-303.69,172.04,3000.0,104177.0,103668.0,
124,2025-05-12,Short put,96000.0,23MAY25,ask,325.38,93000.0,0.076,0.0031,0.0008,-349.12,73.85,-275.26,50.12,3000.0,104214.0,103054.0,
125,2025-05-13,Short put,96000.0,23MAY25,stop_loss,-1225.78,93000.0,0.0751,0.0026,0.0021,-292.66,193.21,-99.45,-1325.23,3000.0,102689.0,102707.0,
126,2025-05-14,Short put,98000.0,23MAY25,ask,451.51,95000.0,0.0818,0.0028,0.0001,-317.69,9.64,-308.05,143.46,3000.0,104160.0,107607.0,
127,2025-05-16,Short put,96000.0,30MAY25,ask,427.25,92000.0,0.0674,0.0027,0.0005,-307.35,49.91,-257.44,169.81,4000.0,104187.0,111428.0,
128,2025-05-17,Short put,96000.0,30MAY25,ask,351.1,92000.0,0.0667,0.0025,0.0005,-285.01,48.71,-236.31,114.79,4000.0,103642.0,108747.0,
129,2025-05-18,Short put,96000.0,30MAY25,ask,323.35,94000.0,0.0856,0.0032,0.0007,-358.66,68.13,-290.53,32.82,2000.0,103959.0,108644.0,
130,2025-05-20,Short put,99000.0,30MAY25,ask,465.79,96000.0,0.0821,0.003,0.0004,-345.79,39.17,-306.62,159.17,3000.0,106397.0,109321.0,
131,2025-05-22,Short put,101000.0,6JUN25,ask,143.11,97000.0,0.0851,0.0042,0.0023,-495.02,222.59,-272.43,-129.32,4000.0,111241.0,108037.0,
132,2025-05-29,Short put,98000.0,13JUN25,ask,207.39,95000.0,0.0826,0.0039,0.0017,-448.35,159.6,-288.75,-81.36,3000.0,108037.0,104805.0,
