date,nav_open,nav_high,nav_low,nav_close,nav_close_realized,return_pct,drawdown_pct,active_slots,eod_slot
2025-06-27,100000.0,100000.0,99759.1,100107.735,100000.0,0.1077,-0.2409,C,C
2025-06-28,100107.735,100107.734665,100107.734665,100107.734665,100107.734665,0.1077,-0.0,C,
2025-06-29,100107.734665,100107.734665,100107.734665,100107.734665,100107.734665,0.1077,-0.0,,
2025-06-30,100107.734665,100107.734665,100107.734665,100107.734665,100107.734665,0.1077,-0.0,,
2025-07-01,100107.734665,100167.492165,99927.899665,100095.53966499999,100107.734665,0.0955,-0.2392,A,A
2025-07-02,100095.53966499999,100215.036445,99994.124445,100256.619665,100214.966445,0.2566,-0.2204,A,A
2025-07-03,100256.619665,100376.40418499999,100040.197185,100532.579665,100376.382185,0.5326,-0.3349,A,A
2025-07-04,100532.579665,100593.05601499998,100110.87601499999,100748.37135,100592.883515,0.7484,-0.4793,"A,C",C
2025-07-05,100748.37135,100808.876085,100748.26808499999,100808.876085,100808.876085,0.8089,-0.0601,C,
2025-07-06,100808.876085,100808.876085,100808.876085,100808.876085,100808.876085,0.8089,-0.0,,
2025-07-07,100808.876085,100808.876085,100808.876085,100808.876085,100808.876085,0.8089,-0.0,,
2025-07-08,100808.876085,100821.67858499999,100688.36058499999,100796.07475,100808.876085,0.7961,-0.1322,A,A
2025-07-09,100796.07475,100917.03031999999,100735.58531999998,100917.03031999999,100917.03031999999,0.917,-0.1798,A,
2025-07-10,100917.03031999999,100917.03031999999,100917.03031999999,100917.03031999999,100917.03031999999,0.917,-0.0,,
2025-07-11,100917.03031999999,100917.03031999999,100421.37531999999,101215.70808499999,100917.03031999999,1.2157,-0.4912,C,C
2025-07-12,101215.70808499999,101278.01186999999,101184.52986999998,101278.01186999999,101278.01186999999,1.278,-0.0923,C,
2025-07-13,101278.01186999999,101278.01186999999,101278.01186999999,101278.01186999999,101278.01186999999,1.278,-0.0,,
2025-07-14,101278.01186999999,101720.07142,100078.61441999998,101549.22931999998,101634.64941999999,1.5492,-1.6137,"A,B",A
2025-07-15,101549.22931999998,101851.87019999999,100734.75019999998,101851.87019999999,101851.87019999999,1.8519,-1.0968,A,
2025-07-16,101851.87019999999,101930.2402,101728.33219999999,101773.50134999999,101851.87019999999,1.7735,-0.1981,A,A
2025-07-17,101773.50134999999,102015.67169999999,101593.8567,102015.67169999999,102015.67169999999,2.0157,-0.4135,A,
2025-07-18,102015.67169999999,102047.2917,101515.62169999999,102254.58794999999,102015.67169999999,2.2546,-0.521,C,C
2025-07-19,102254.58794999999,102379.66739999999,102254.57939999999,102379.66739999999,102379.66739999999,2.3797,-0.1222,C,
2025-07-20,102379.66739999999,102379.66739999999,102379.66739999999,102379.66739999999,102379.66739999999,2.3797,-0.0,,
2025-07-21,102379.66739999999,102379.66739999999,102379.66739999999,102379.66739999999,102379.66739999999,2.3797,-0.0,,
2025-07-22,102379.66739999999,102379.66739999999,102379.66739999999,102379.66739999999,102379.66739999999,2.3797,-0.0,,
2025-07-23,102379.66739999999,102379.70739999998,102196.8174,102421.43199999999,102379.66739999999,2.4214,-0.1786,A,A
2025-07-24,102421.43199999999,102603.90371,102267.62621,102513.24461,102543.61871,2.5132,-0.3277,A,A
2025-07-25,102513.24461,102818.01067999999,101036.22267999999,102975.53618,102818.01067999999,2.9755,-1.733,"A,C",C
2025-07-26,102975.53618,103037.87478,102913.17978,103037.87478,103037.87478,3.0379,-0.121,C,
2025-07-27,103037.87478,103037.87478,103037.87478,103037.87478,103037.87478,3.0379,-0.0,,
2025-07-28,103037.87478,103145.75782,102722.99782,103145.75782,103145.75782,3.1458,-0.4099,B,
2025-07-29,103145.75782,103145.75782,103145.75782,103145.75782,103145.75782,3.1458,-0.0,,
2025-07-30,103145.75782,103145.75782,103145.75782,103145.75782,103145.75782,3.1458,-0.0,,
2025-07-31,103145.75782,103145.75782,103145.75782,103145.75782,103145.75782,3.1458,-0.0,,
2025-08-01,103145.75782,103443.56581999999,102357.77332000001,102871.27122,103145.75782,2.8713,-1.0496,C,C
2025-08-02,102871.27122,103477.35217,102750.64417,103477.35217,103477.35217,3.4774,-0.7023,C,
2025-08-03,103477.35217,103477.35217,103477.35217,103477.35217,103477.35217,3.4774,-0.0,,
