entry,entry_policy,greek_limits_mode,qty_per_1btc_equity,max_concurrent,hold_days,perp_delta_hedge,option_hedge_mode,take_profit_pct,ann_return,max_dd_pct,sharpe,pnl,n_closes,bars,breach_any_pct,breach_d_pct,breach_g_pct,breach_v_pct,breach_t_pct,max_abs_v,min_g,skips,sized_opens,perp_trades,perp_fees,wing_adjusts
RichForce16,fav_sharpe_rich4_f5_1600,off,0.15,10,0,0,off,0.6,0.228454,4.3263,2.6252,30827.39,93,136787,71.02,62.945,0.0,32.051,0.0,0.3694,-4.221,0,0,0,0.0,0
Daily15,fav_pnl_daily_1500,off,0.15,10,0,0,off,0.5,0.283761,6.9341,1.6908,38351.13,138,136787,93.26,93.26,0.0,68.207,0.0,0.4427,-6.2682,0,0,0,0.0,0
RichForce16,fav_sharpe_rich4_f5_1600,scale,0.15,10,0,0,off,0.6,0.165299,2.9352,2.7254,22113.64,93,136787,62.956,54.881,0.0,17.375,0.0,0.2747,-2.7324,0,46,0,0.0,0
Daily15,fav_pnl_daily_1500,scale,0.15,10,0,0,off,0.5,0.162877,4.5695,1.6984,21588.14,138,136787,87.627,87.627,0.0,25.828,0.0,0.2917,-4.271,0,88,0,0.0,0
RichForce16,fav_sharpe_rich4_f5_1600,off,0.2,10,0,0,off,0.6,0.352959,5.5712,2.7484,48406.06,93,136787,84.077,78.509,0.0,53.029,0.0,0.4955,-5.3355,0,0,0,0.0,0
Daily15,fav_pnl_daily_1500,off,0.2,10,0,0,off,0.5,0.385706,8.0026,1.8802,52870.36,138,136787,96.304,95.641,0.0,87.455,0.0,0.5596,-6.7681,0,0,0,0.0,0
RichForce16,fav_sharpe_rich4_f5_1600,scale,0.2,10,0,0,off,0.6,0.171692,3.3129,2.7591,22989.27,93,136787,63.908,55.563,0.0,18.886,0.0,0.2888,-2.7237,0,76,0,0.0,0
Daily15,fav_pnl_daily_1500,scale,0.2,10,0,0,off,0.5,0.165694,4.5695,1.7084,21973.0,138,136787,88.836,88.836,0.0,27.048,0.0,0.2917,-4.271,0,126,0,0.0,0
RichForce16,fav_sharpe_rich4_f5_1600,off,0.05,20,0,0,off,0.6,0.0,0.0,0.0,0.0,0,136787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Daily15,fav_pnl_daily_1500,off,0.05,20,0,0,off,0.5,0.0,0.0,0.0,0.0,0,136787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
RichForce16,fav_sharpe_rich4_f5_1600,scale,0.05,20,0,0,off,0.6,0.0,0.0,0.0,0.0,0,136787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
Daily15,fav_pnl_daily_1500,scale,0.05,20,0,0,off,0.5,0.0,0.0,0.0,0.0,0,136787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
RichForce16,fav_sharpe_rich4_f5_1600,off,0.1,20,0,0,off,0.6,0.118504,3.143,2.0745,15749.26,80,136787,46.344,46.344,0.0,7.08,0.0,0.2779,-3.3092,0,0,0,0.0,0
Daily15,fav_pnl_daily_1500,off,0.1,20,0,0,off,0.5,0.240579,7.8109,1.6146,32410.66,174,136787,76.617,72.32,0.0,35.971,0.0,0.6433,-5.7996,0,0,0,0.0,0
RichForce16,fav_sharpe_rich4_f5_1600,scale,0.1,20,0,0,off,0.6,0.103548,2.1391,2.1396,13732.21,80,136787,44.072,44.072,0.0,2.087,0.0,0.2434,-2.4657,0,16,0,0.0,0
Daily15,fav_pnl_daily_1500,scale,0.1,20,0,0,off,0.5,0.188616,4.9361,1.8457,25214.56,174,136787,75.418,71.121,0.0,26.896,0.0,0.3619,-3.8626,0,72,0,0.0,0
RichForce16,fav_sharpe_rich4_f5_1600,off,0.15,20,0,0,off,0.6,0.340748,4.8791,3.0441,46659.27,138,136787,80.027,69.237,0.0,48.863,0.0,0.479,-4.939,0,0,0,0.0,0
Daily15,fav_pnl_daily_1500,off,0.15,20,0,0,off,0.5,0.630554,10.8449,2.2051,89063.35,244,136787,94.913,90.545,0.0,85.988,0.0,0.9108,-9.355,0,0,0,0.0,0
RichForce16,fav_sharpe_rich4_f5_1600,scale,0.15,20,0,0,off,0.6,0.242716,3.6613,2.9967,32814.55,138,136787,72.686,60.757,0.0,33.807,0.0,0.479,-4.4612,0,63,0,0.0,0
Daily15,fav_pnl_daily_1500,scale,0.15,20,0,0,off,0.5,0.315283,5.1372,2.5217,42804.14,244,136787,90.955,80.977,0.0,55.523,0.0,0.4848,-5.9692,0,176,0,0.0,0
RichForce16,fav_sharpe_rich4_f5_1600,off,0.2,20,0,0,off,0.6,0.536523,6.681,3.1142,75231.2,138,136787,85.896,79.723,0.0,56.339,0.0,0.8506,-7.7407,0,0,0,0.0,0
Daily15,fav_pnl_daily_1500,off,0.2,20,0,0,off,0.5,0.840678,13.3855,2.3927,121491.06,244,136787,96.454,88.442,0.118,89.842,0.0,1.2201,-10.901,0,0,0,0.0,0
RichForce16,fav_sharpe_rich4_f5_1600,scale,0.2,20,0,0,off,0.6,0.247473,3.6507,3.0639,33478.8,138,136787,72.194,60.384,0.0,33.743,0.0,0.4775,-4.4473,0,125,0,0.0,0
Daily15,fav_pnl_daily_1500,scale,0.2,20,0,0,off,0.5,0.316534,5.1372,2.532,42981.59,244,136787,91.275,81.296,0.0,55.306,0.0,0.4848,-5.9692,0,235,0,0.0,0
