entry,entry_policy,greek_limits_mode,qty_per_1btc_equity,max_concurrent,hold_days,perp_delta_hedge,option_hedge_mode,take_profit_pct,ann_return,max_dd_pct,sharpe,pnl,n_closes,bars,breach_any_pct,breach_d_pct,breach_g_pct,breach_v_pct,breach_t_pct,max_abs_v,min_g,skips,sized_opens,perp_trades,perp_fees,wing_adjusts
RichForce16,fav_sharpe_rich4_f5_1600,scale,0.2,20,0,1,off,0.6,0.131866,3.3414,2.8275,17558.39,138,136787,49.091,0.064,0.0,49.077,0.0,0.4731,-4.386,0,105,89,369.41,0
Daily15,fav_pnl_daily_1500,scale,0.2,20,0,1,off,0.5,0.172212,3.4942,3.2582,22864.4,244,136787,79.453,0.108,0.0,79.433,0.0,0.5062,-6.5176,0,206,153,669.2,0
RichForce16,fav_sharpe_rich4_f5_1600,scale,0.2,20,0,1,sticky_budget,0.6,-0.856434,101.89,0.4087,-92072.26,138,136787,88.201,3.285,5.693,87.772,11.152,32390.5042,-290981.5125,0,128,32162,135265.69,120507
Daily15,fav_pnl_daily_1500,scale,0.2,20,0,1,sticky_budget,0.5,-0.9952,105.028,-1.5245,-99906.43,244,136787,77.741,6.341,8.887,77.682,13.175,25775.6238,-75756.153,0,218,35882,148734.83,106278
