combo_idx,date,nav_low,nav_high,nav_close,realized_close
183,2025-06-27,99733.67,100215.47,100215.47,0.0
183,2025-06-28,100215.47,100215.47,100215.47,215.46933
183,2025-06-29,100215.47,100215.47,100215.47,215.46933
183,2025-06-30,100215.47,100215.47,100215.47,215.46933
183,2025-07-01,100215.47,100215.47,100215.47,215.46933
183,2025-07-02,100215.47,100215.47,100215.47,215.46933
183,2025-07-03,100215.47,100215.47,100215.47,215.46933
183,2025-07-04,99562.43,100526.79,100526.445,215.46933
183,2025-07-05,100526.234,100647.45,100647.45,647.45447
183,2025-07-06,100647.45,100647.45,100647.45,647.45447
183,2025-07-07,100647.45,100647.45,100647.45,647.45447
183,2025-07-08,100647.45,100647.45,100647.45,647.45447
183,2025-07-09,100647.45,100647.45,100647.45,647.45447
183,2025-07-10,100647.45,100647.45,100647.45,647.45447
183,2025-07-11,100253.5,101244.81,101244.81,647.45447
183,2025-07-12,101182.45,101369.414,101369.414,1369.4175
183,2025-07-13,101369.414,101369.414,101369.414,1369.4175
183,2025-07-14,101369.414,101369.414,101369.414,1369.4175
183,2025-07-15,101369.414,101369.414,101369.414,1369.4175
183,2025-07-16,101369.414,101369.414,101369.414,1369.4175
183,2025-07-17,101369.414,101369.414,101369.414,1369.4175
183,2025-07-18,100847.15,101910.49,101847.25,1369.4175
183,2025-07-19,101847.234,102097.41,102097.41,2097.409
183,2025-07-20,102097.41,102097.41,102097.41,2097.409
183,2025-07-21,102097.41,102097.41,102097.41,2097.409
183,2025-07-22,102097.41,102097.41,102097.41,2097.409
183,2025-07-23,102097.41,102097.41,102097.41,2097.409
183,2025-07-24,102097.41,102097.41,102097.41,2097.409
183,2025-07-25,101432.664,102412.46,102412.46,2097.409
183,2025-07-26,102287.75,102537.14,102537.14,2537.1372
183,2025-07-27,102537.14,102537.14,102537.14,2537.1372
183,2025-07-28,102537.14,102537.14,102537.14,2537.1372
183,2025-07-29,102537.14,102537.14,102537.14,2537.1372
183,2025-07-30,102537.14,102537.14,102537.14,2537.1372
183,2025-07-31,102537.14,102537.14,102537.14,2537.1372
183,2025-08-01,100412.195,102583.78,101988.164,2537.1372
183,2025-08-02,101746.914,103200.33,103200.33,3200.326
183,2025-08-03,103200.33,103200.33,103200.33,3200.326
183,2025-08-04,103200.33,103200.33,103200.33,3200.326
183,2025-08-05,103200.33,103200.33,103200.33,3200.326
183,2025-08-06,103200.33,103200.33,103200.33,3200.326
183,2025-08-07,103200.33,103200.33,103200.33,3200.326
183,2025-08-08,102923.24,103298.305,103298.305,3200.326
183,2025-08-09,103298.23,103423.16,103423.16,3423.1553
183,2025-08-10,103423.16,103423.16,103423.16,3423.1553
183,2025-08-11,103423.16,103423.16,103423.16,3423.1553
183,2025-08-12,103423.16,103423.16,103423.16,3423.1553
183,2025-08-13,103423.16,103423.16,103423.16,3423.1553
183,2025-08-14,103423.16,103423.16,103423.16,3423.1553
183,2025-08-15,102848.0,103967.27,103967.14,3423.1553
183,2025-08-16,103842.12,104091.52,104091.52,4091.5232
183,2025-08-17,104091.52,104091.52,104091.52,4091.5232
183,2025-08-18,104091.52,104091.52,104091.52,4091.5232
